CLOSEST_DEFENDER,player_name,LOCATION,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME
"HOWARD, DWIGHT","PLUMLEE, MASON",,,,210,21,,21.1
"HUMMEL, ROBBIE","POPE, KENTAVIOUS",,,,211,21.1,,21.2
"HUMPHRIES, KRIS","PORTER, OTTO",,,,212,21.2,,21.3
"IBAKA, SERGE","PRICE, RONNIE",,,,213,21.3,,21.4
"IGUODALA, ANDRE","PRIGIONI, PABLO",,,,214,21.4,,21.5
"ILYASOVA, ERSAN","RANDOLPH, ZACH",,,,215,21.5,,21.6
"INGLES, JOE","REDICK, JJ",,,,216,21.6,,21.7
"IRVING, KYRIE","ROBERSON, ANDRE",,,,217,21.7,,21.8
"JACK, JARRETT","ROBERTS, BRIAN",,,,218,21.8,,21.9
"JACKSON, REGGIE","ROBINSON, NATE",,,,219,21.9,,22
"JAMES, BERNARD","ROSE, DERRICK",,,,220,22,,22.1
"JAMES, LEBRON","ROSS, TERRENCE",,,,221,22.1,,22.2
"JEFFERSON, AL","RUDEZ, DAMJAN",,,,222,22.2,,22.3
"JEFFERSON, CORY","SACRE, ROBERT",,,,223,22.3,,22.4
"JEFFERSON, RICHARD","SAMPSON, JAKARR",,,,224,22.4,,22.5
"JENKINS, JOHN","SCHRODER, DENNIS",,,,225,22.5,,22.6
"JENNINGS, BRANDON","SCOLA, LUIS",,,,226,22.6,,22.8
"JEREBKO, JONAS","SCOTT, MIKE",,,,227,22.7,,22.9
"JERRETT, GRANT","SEFOLOSHA, THABO",,,,228,22.8,,23.1
"JOHNSON, AMIR","SERAPHIN, KEVIN",,,,229,22.9,,23.2
"JOHNSON, CHRIS","SESSIONS, RAMON",,,,230,23,,23.3
"JOHNSON, JAMES","SIMS, HENRY",,,,231,23.1,,23.4
"JOHNSON, JOE","SINGLER, KYLE",,,,232,23.2,,23.5
"JOHNSON, NICK","SLOAN, DONALD",,,,233,23.3,,23.8
"JOHNSON, TYLER","SMART, MARCUS",,,,234,23.4,,23.9
"JOHNSON, WESLEY","SMITH, GREG",,,,235,23.5,,24
"JONES, DAHNTAY","SMITH, JASON",,,,236,23.6,,24.1
"JONES, JAMES","SNELL, TONY",,,,237,23.7,,24.4
"JONES, PERRY","SPEIGHTS, MARREESE",,,,238,23.8,,24.5
"JONES, TERRENCE","STAUSKAS, NIK",,,,239,23.9,,24.9
"JORDAN, DEANDRE","STEPHENSON, LANCE",,,,240,24,,
"JORDAN, JEROME","STOUDEMIRE, AMARE",,,,241,,,
"JOSEPH, CORY","STUCKEY, RODNEY",,,,242,,,
"KAMAN, CHRIS","SULLINGER, JARED",,,,243,,,
"KANTER, ENES","TEAGUE, JEFF",,,,244,,,
